"s","a","y"
"환상속의 그대","서태지와 아이들","1990's 베스트 가요 콜렉션 "
"희망사항","변진섭","1990's 베스트 가요 콜렉션 "
"흐린 기억속의 그대 (Club Remix)","현진영","1990's 베스트 가요 콜렉션 "
"인디안 인형처럼","나미","1990's 베스트 가요 콜렉션 "
"널 그리며","박남정","1989년 베스트 가요 콜렉션"
"Happy Birthday","이상은(Lee Tzsche)","1989년 베스트 가요 콜렉션"
"Q","조용필","1989년 베스트 가요 콜렉션"
"가로수 그늘 아래서면","이문세","1989년 베스트 가요 콜렉션"
"겨울바다","푸른 하늘","1989년 베스트 가요 콜렉션"
"겨울 애상","이선희","1989년 베스트 가요 콜렉션"
"골목길","신촌 블루스","1989년 베스트 가요 콜렉션"
"그 누구보다 더","이정현","1989년 베스트 가요 콜렉션"
"그 아픔까지 사랑한거야","조정현","1989년 베스트 가요 콜렉션"
"그대 그리고 나","소리새","1989년 베스트 가요 콜렉션"
"그대 내맘에 들어오면은 (Remastering)","조덕배","1989년 베스트 가요 콜렉션"
"그대는","양수경","1989년 베스트 가요 콜렉션"
"그대는 별이었나요","이수만","1989년 베스트 가요 콜렉션"
"그대에게 무슨말을 할까","최성수","1989년 베스트 가요 콜렉션"
"기분좋은날","김완선","1989년 베스트 가요 콜렉션"
"기쁜 우리 사랑은","최성수","1989년 베스트 가요 콜렉션"
"기차와 소나무","이규석","1989년 베스트 가요 콜렉션"
"김삿갓","홍서범","1989년 베스트 가요 콜렉션"
"깊은 밤의 서정곡","블랙 홀(Black Hole)","1989년 베스트 가요 콜렉션"
"꽃밭에서","정훈희","1989년 베스트 가요 콜렉션"
"나의 거리","이선희","1989년 베스트 가요 콜렉션"
"내아픔 아시는 당신께","조하문","1989년 베스트 가요 콜렉션"
"내게 남은 사랑을 드릴께요","장혜리","1989년 베스트 가요 콜렉션"
"너무 늦었잖아요","변진섭","1989년 베스트 가요 콜렉션"
"너에게","김광석","1989년 베스트 가요 콜렉션"
"네게 줄 수 있는 건 오직 사랑뿐","변진섭","1989년 베스트 가요 콜렉션"
"누나야","임지훈","1989년 베스트 가요 콜렉션"
"눈물나는 날에는","푸른 하늘","1989년 베스트 가요 콜렉션"
"당신도 울고 있네요","김종찬","1989년 베스트 가요 콜렉션"
"돌아오는 계절에는","오석준","1989년 베스트 가요 콜렉션"
"디.디.디 (D.D.D)","김혜림","1989년 베스트 가요 콜렉션"
"루씰","한영애","1989년 베스트 가요 콜렉션"
"마지막 나의 모습","이승철","1989년 베스트 가요 콜렉션"
"마지막 이별속에서","이준","1989년 베스트 가요 콜렉션"
"멀리 보이네","박남정","1989년 베스트 가요 콜렉션"
"뭐라고 한마디 해야할텐테","박인수","1989년 베스트 가요 콜렉션"
"미워요","심수봉","1989년 베스트 가요 콜렉션"
"바람아 멈추어다오","이지연","1989년 베스트 가요 콜렉션"
"바람에 실려간 사랑 A","전영록","1989년 베스트 가요 콜렉션"
"바람에 옷깃이 날리듯","이상우","1989년 베스트 가요 콜렉션"
"바보같은 미소","조갑경","1989년 베스트 가요 콜렉션"
"벌써 이밤이 다 지나고","안혜지","1989년 베스트 가요 콜렉션"
"변심","김수철","1989년 베스트 가요 콜렉션"
"별이 진다네","여행스케치","1989년 베스트 가요 콜렉션"
"봉선화 연정","현철","1989년 베스트 가요 콜렉션"
"붉은 노을","이문세","1989년 베스트 가요 콜렉션"
"사람들은 모두 변하나 봐","봄여름가을겨울","1989년 베스트 가요 콜렉션"
"사랑으로 멈춰진 나","신재홍","1989년 베스트 가요 콜렉션"
"사랑은 창밖에 빗물같아요","양수경","1989년 베스트 가요 콜렉션"
"사랑의 불시착","박남정","1989년 베스트 가요 콜렉션"
"사랑하고 싶어","이승철","1989년 베스트 가요 콜렉션"
"새들처럼","변진섭","1989년 베스트 가요 콜렉션"
"소낙비","이연실","1989년 베스트 가요 콜렉션"
"슬픈 그림 같은 사랑","이상우","1989년 베스트 가요 콜렉션"
"슬픈 안녕","이지연","1989년 베스트 가요 콜렉션"
"슬픔은 사라지고","유영선과 커넥션","1989년 베스트 가요 콜렉션"
"시를 위한 시","이문세","1989년 베스트 가요 콜렉션"
"아름다워라 그대","김종찬","1989년 베스트 가요 콜렉션"
"아직도 못다한 이야기","전영록","1989년 베스트 가요 콜렉션"
"안개 걷히는 날","신계행","1989년 베스트 가요 콜렉션"
"안개 그림자","김범룡","1989년 베스트 가요 콜렉션"
