"","곡명","아티스트","장르","연도"
"455","그대가 미워요","전영록","가요 / 발라드",1984
"456","어제, 오늘, 그리고","조용필","가요 / 트로트",1985
"457","이젠 사랑할 수 있어요","해바라기","가요 / 블루스/포크",1985
"458","희나리","구창모","가요 / 블루스/포크",1985
"459","아직도 어두운 밤인가봐","전영록","가요 / 전체",1985
"460","행복을 주는 사람","해바라기","가요 / 블루스/포크",1985
"461","바위섬","김원중","가요 / 전체",1985
"462","하늘 나라 우리님 1","송골매","가요 / 락",1985
"463","바람,바람,바람","김범룡","가요 / 트로트",1985
"464","이별 노래","이동원","가요 / 블루스/포크",1985
"465","비내리는 영동교","주현미","가요 / 트로트",1985
"466","그댄 봄비를 무척 좋아하나요","배따라기","가요 / 트로트",1985
"467","우리 사랑","김승덕","가요 / 트로트",1985
"468","도시의 거리","정수라","가요 / 발라드",1985
"469","당신은 누구세요","김수희","가요 / 트로트",1985
"470","겨울비는 내리고","김범룡","가요 / 발라드",1985
"471","아! 옛날이여","이선희","가요 / 발라드",1985
"472","빙글빙글","나미","가요 / 트로트",1985
"473","다시 사랑할 수 있다면","김형용","가요 / 블루스/포크",1985
"474","그대 먼곳에","마음과 마음","가요 / 발라드",1985
"475","사랑했어요","김현식","가요 / 발라드",1985
"476","너의 의미","산울림","가요 / 블루스/포크",1985
"477","인생은 미완성","이진관","가요 / 트로트",1985
"478","내일로 가는 마차","이재성","가요 / 트로트",1985
"479","눈물 한 방울로 사랑은 시작되고","이유진","가요 / 전체",1985
"480","J 그대는","오복","가요 / 블루스/포크",1985
"481","이해하기 어려운 이야기","최혜영","가요 / 트로트",1985
"482","환상의 섬","윤수일","가요 / 트로트",1985
"483","아시아의 불꽃","조용필","가요 / 발라드",1985
"484","밤에 피는 장미","어우러기 (Eoureogi)","가요 / 블루스/포크",1985
"485","그대 작은 화분에 비가 내리네","배따라기","가요 / 발라드",1985
"486","왜 모르시나","김수철","가요 / 발라드",1985
